Krishna,"Aadi Narayana Sai Narayana 
Jaya Hari Narayana Jaya Jaya 
Pandari Vaasaa Hari Narayana 
Parthi Nivaasa Sai Narayana 
Varada Narayana Veda Narayana 
Jai Hari Narayana Jaya Jaya","Victory to Lord Hari Narayana and Lord Sai Narayana. You are
the resident of Pandari - Lord Narayana and Lord of Parthi - Lord 
Sai Narayana. Victory to boon conferring Lord Narayana, who is the giver of Vedas.",,,,,
Krishna,"Aana Sai Bhagawaan Hamare Kirtan Mey 
Aap Bhi Aana Sang Radha Ko Bhi Laana 
Aakar Raas Rachana Hamare Kirtan Me 
Aap Bhi Aana Sang Gvalon Ko Bhi Lana 
Aakar Maakhan Khana Hamare Kirtan Me 
Aap Bhi Aana Sang Arjun Ko Bhi Lana 
Aakar Gyan Sikhana Hamare Kirtan Me 
Aap Bhi Aana Sang Meera Ko Bhi Lana 
Aakar Bhakthi Sikhana Hamare Kirtan Me","Please come Lord Sai, in our prayers; And bring Radha along with You when You come;
Please make our prayers exhilatarting; And bring the village boys (gvalon) with You when You come; 
Please eat butter from our prayers; And bring Arjun with You when You come; 
Please teach us to get wisdom from our prayers; And bring Meera with You when You come; 
Please teach us devotion through our prayers",,,,,
Krishna,"Aananda Saagara Muralidhara 
Meera Prabhu Radhey Shyaam Venu Gopaala 
Nanda Yashoda Ananda Kishora 
Jai Jai Gokula Baala Jai Venu Gopaala","Victory to Krishna, beloved Prince of Yashoda. Thou art the
ocean of bliss and player of captivating music on flute and Lord 
of Mira (devotee), Radha and the entire Universe.",,,,,
Krishna,"Aavo Aavo Antharyaami 
Aadi Narayana Sai Narayana 
Hrudaya Vihaari Hey Giridhari 
Hari Hari Shree Hari Sai Muraari","Welcome O! Indweller of our hearts, Lord Sai Narayana! Sai
Krishna! Our heart is Thy playground and Thou art the destroyer of our sins and ignorance.",,,,,
Krishna,"Aavo Aavo Aavo Aavo 
Aavo Sundara Nanda Gopaala 
Navaneetha Chora Maanasa Vihaara 
Darshan Do Nanda Laala 
Mujhey Darshan Do Nanda Laala (2)","Welcome! Welcome! O Charming Lord Nanda Lala! Residing in the hearts of devotees
Thou captivates their hearts. We pray to Thee again and again to grant us Your Vision (Darshan",,,,,
Krishna,"Aavo Aavo Madhava 
Madhava Keshava 
Aavo Aavo Madhava 
Radha Lola Rukumaayi Vitthala 
Ranga Pandhu Ranga Vitthala 
Aavo Aavo Madhava 
Aadi Narayana Anantha Sai 
Aavo Aavo Atma Nivasi","Welcome, welcome, Madhava (lord of Lakshmi). Welcome effulgent and radiant One. O joy of Radha and Rakumayi,
Welcome, Lord Panduranga, welcome. Thou art the original Being, the eternal Sai 
Welcome, welcome, my soul's Resider ",,,,,
Krishna,"Aavo Aavo Mana Mandir Mey 
Darshan Do Nandalaal Sai 
Raadha Madhava Gokula Baala 
Madhava Keshava Gopaala","Welcome, welcome into our heart. Manifest before us Oh Krishna, Madhava, Keshava Oh Sai",,,,,
Krishna,"Aavo Aavo Sai Ghanashyaama 
Parthi Nandan Radhey Shyaama 
Aavo Aavo Sai Ghanashyaama 
Brindavana Ghanashyaama Govinda 
Bhaktha Manohara Mukharavinda 
Hey Giridhari Sai Murari","Welcome O Lord Sai Ghanashyaama of Parthi! O Lord Govinda!
Moving about in 'Vrindavan' garden. Thou art enchanting and 
pleasing to look at. Chant the name of Lord Giridhari and Lord Sai Murari.",,,,,
Krishna,"Aavo Gopaal Nanda Laal 
Aavo Nanda Mukunda Gopaal ..(Aavo Gopaal..) 
Krishna Gopaal Sai Gopaal 
Aavo Aavo Nanda Dulaar ..(Aavo Gopaal..) 
Shree Madhusoodana Madana Gopaala 
Aavo Giridhara Sundara Laal","Shree Krishna, son of Nanda, slayer of demon Madhu, the beautiful One who lifted the mountain, please come and let
me have a glimpse of Thy Divine Self.",,,,,
Krishna,"Aavo Gopaala Giridhaari 
Aavo Aavo Antharyaami 
Aavo Aavo Aananda Sai 
Aavo Gopaala Giridhaari 
Aavo Aavo Atma Nivasi 
Aavo Aavo Shanti Nivasi","Welcome, Lord Sai Giridhari Gopaala! the indweller of our
hearts. Welcome, O Blissful Lord of Prashanti! Lord Gopaala.",,,,,
