Rama,"Aajanu Bahum Aravinda Nethram 
Atmaabhi Ramam Manasaa Smaraami (2) 
Bhooloka Vaikunthha Parthi Nivaasam 
Prabhu Sai Ramam Manasaa Smaraami","Mediate on the form of Rama, whose abode is the heart of
Devotees. Rama has arms, stretching up to his knees and has eyes 
of a blooming lotus, the dweller of Parthi, which is truly heaven on earth.",,,,
Rama,"Athey Bhi Ram Bolo Jathey Bhi Ram Bolo 
Subah Our Shyaam Bolo Ram Ram Ram 
Ghar Ghar Mey Ram Bolo Mandir Mey Ram Bolo 
Gathey Chalo Gathey Chalo Sathya Sai Ram 
Sathya Sai Ram Bolo Sathya Sai Ram","Keep chanting Rama's name in your coming and going, morning
and evening, in your home and in your temple. Let His name be on 
your lips as you walk, the name of Sathya Sai Ram.",,,,
Rama,"Atma Nivaasi Ram Atma Nivaasi Ram 
Dasharatha Nandana Rama Jaya Jaya Janaki Jeevana Ram 
Ayodhya Vaasi Ram Ayodhya Vaasi Ram (repeat 2nd line) 
Aranya Vaasi Ram Aranya Vaasi Ram (repeat 2nd line) 
Ahalya Uddhara Ram Ahalya Uddhara Ram (repeat 2nd line) 
Bhaktha Vatsala Ram Bhaktha Vatsala Ram (repeat 2nd line)","Ram, indweller of every soul; Son of Dasaratha, Glory to Ram, the very life and soul of Janaki;
Ram, the dweller of Ayodhya; Ram, the one who lived (for 14 years) in Aranya (forest); 
Ram, who redeemed Ahalya; Ram, who has great affection and compassion for His devotees",,,,
Rama,"Atma Rama Aananda Rama 
Ananda Mohana Shree Parandhaama 
Maayavi Rama Maanasa Prema, 
Sundara Naama Sugunabhi Rama","O Lord Rama! Indweller of hearts, Your form is happiness, bliss
and love. You are embodiment of virtues and assumed illusive form of human being through Maya.",,,,
Rama,"Atma Rama Aananda Ramana 
Achyutha Keshava Hari Narayana 
Bhava Bhaya Harana Vanditha Charanaa 
Raghukula Bhooshana Rajeeva Lochana 
Aadi Narayana Anantha Shayanaa 
Satchidananda Sathya Narayana","Chant the name of Rama, bestower of happiness and resident of
our heart. Worship the Lotus Feet of Lord Narayana, Achyutha, 
Keshava and Hari, destroys the fear of cycle of birth and death. 
Pray: Lotus-eyed Rama of Raghu Dynasty; Lord Narayana, resting 
on coiled serpent: Lord Sathya Narayana, Who is embodiment of Truth and bliss.",,,,
Rama,"Atmaabhi Rama Ananda Naama Seetha Rama Sai Rama 
Sundara Naama Hey Ghanashyaama, Radhe Shyaama Sai Rama","O Lord Rama! Thou art bliss and indweller of our hearts. Chant
the name of Rama, Krishna, Sathya Sai.",,,,
Rama,"Ayodhya Vaasi Ram Hai Dwaraka Mey Ayee 
Dwaaraka Vaasi Shyaam Hai Shirdi Mey Ayee 
Shirdi Sai Ram Hai Parthi Sathya Sai 
Bolo Ram Sai Ram Bolo Sathya Sai Ram 
Ram Ram Ram Ram Bolo Ram Ram Ram","O Lord of Ayodhya, Lord Ram! Thou incarnated in Dwarka (City)
as Lord Shyaama. O Lord Shyaama! Thou incarnated in Shirdi as 
Lord of Shirdi. Thou incarnated as Lord Sathya Sai Ram in 
Puttaparthi. Chant all together, ""Sathya Sai Ram, Ram Ram"".",,,,
Rama,"Ayodhya Vaasi Ram Ram Ram Dasaratha Nandana Ram 
Pateetha Pavana Janaki Jeevana Seetha Mohana Ram","Lord Ram, residing in Ayodya, son of Dasaratha; purifier of
sin, the enchanter of Seetha, the very life of Janaki.",,,,
Rama,"Bhaja Mana Ram Bhaja Mana Ram 
Panduranga Shree Ranga Bhaja Mana Ram 
Bhaja Mana Keshava Bhaja Mana Madhava 
Bhaja Mana Yaadava Bhaja Mana Ram 
Bhaja Mana Mukunda Bhaja Mana Govinda 
Bhaja Mana Aananda Bhaja Mana Ram","O Mind! Worship Lord Rama, Panduranga, Keshava, Madhava,
Yadava, Mukunda and Govinda. Be in bliss worshipping all these 
names of the Lord.",,,,
Rama,"Bhaja Mana Ram Krishna Jai Bolo 
Rama Krishna Jai Sai Krishna Jai 
Raghukula Bhooshana Ram, Ram, Ram 
Radha Mohan Shyaama, Shyaama, Shyaama 
Harey Ram Harey Ram Harey Krishna Harey Ram","O Mind! Chant the name of Lord Rama, Krishna, Sai. Rama, the
Jewel of Raghu Dynasty. Chant the mantra, ""Harey Ram Harey 
Ram Harey Krishna Harey Ram"".",,,,
Rama,"Bhaja Mana Rama Krishna Govinda 
Sad Guru Sai Parama Dayaala 
Bhava Bhaya Haari Sai Krupala","O Mind! Chant the name of Lord Rama, Krishna and Govinda.
Supreme Guru Lord Sai is extremely kind, 
merciful and He destroys the fear of birth and death.",,,,
